No.,Title,Abstract,DOI,Year,Journal,Cited by,Author Keywords,Index Keywords,Authors,,,,,,
141,"Long-term trends of physical, chemical and biological variables in the River Danube 1957-1995: A statistical approach","A 39-year series (1957-1995) of data on fourteen physical, chemical and biological variables from the Austrian section of the River Danube west of Vienna-Nussdorf was analysed statistically to detect long-term trends of the variables in relation to human activities (represented by time), discharge and water temperature. Principal component analysis distinguished four main components explaining 72% of the total variance: PC1 contains total phosphorus, soluble reactive phosphorus, ammonium and potassium permanganate values, PC2 contains nitrate-N, chloride and oxygen, PC3 contains BOD5 and nitrite-N, and PC4 contains numbers of bacteria. Trends in time were most pronounced for variables in PC1, but also occurred in PC2; variables in PC3 and PC4 had no trends. Seasonal patterns were marked for variables in PC2, slightly less in PC1, and least in PC3 and PC4. Concentrations were minimal in summer and maximal in winter, inversely related to discharge (maximal in summer). Following reductions in point-source nutrient inputs to the Danube, in both Germany and Austria, mean concentrations in the river have fallen by at least half since the 1980s. Chloride and nitrate-N also show trends towards lower concentrations. The Danube is well-oxygenated, with concentrations near air saturation values. A mathematical relationship between concentrations of the variables and river discharge (Q), water temperature (T) and time (t), was established to determine mean trends and predictions against a background of considerable seasonal and stochastic variability; for the single variables Q explained 0-20% and T explained 2-58% of the variation in the concentrations. The relationship was highest for variables in PC2 and lowest for those in PC3 and PC4, where Q and T had little or no influence. Reasons for rising and falling long-term trends with time are discussed in detail. Austria now contributes only minor proportions to the nutrient load of the Danube, which is causing eutrophication of the Black Sea downstream, and water quality of the Austrian section of the river is good. The advantages and problems of statistical process analysis are discussed in relation to environmental monitoring programs and the different specific requirements of compliance monitoring.",https://doi.org/10.1007/PL00001325,1999,Aquatic Sciences,14,Chemical and biological variables; Danube; Long-term study; Physical; Quantitative ecology; Simulation; Time series,,"Weilguni, H.; Humpesch, U.H.",,,,,,
142,An integrated approach to watershed management within the DPSIR framework: Axios River catchment and Thermaikos Gulf,"The coastal zone of the inner Thermaikos Gulf has been influenced by eutrophication during the past decades. The conditions of the catchment area-coastal zone continuum are assessed under the holistic Driver-Pressure- State-Impact-Response (DPSIR) framework. Major socioeconomic drivers, such as industrial and agricultural development as well as urbanization, exert substantial environmental pressures on the Axios River and the Thermaikos Gulf. The Thermaikos Gulf is a highly complex system, being affected by nutrient inputs from four rivers and the City of Thessaloniki. Moreover, the Axios River which is the most significant contributor of freshwater and nutrients to the gulf, is a transboundary river shared between Greece and the Former Yugoslav Republic of Macedonia (FYROM). The two countries have not yet established a mutual management plan to control freshwater and nutrient discharges. Long-term analysis has shown that presently, more than 11,800 t of nitrogen and 3,400 t of phosphorous are released annually into the marine system. In the Antropocene era, and particularly during the past 20 years, freshwater discharges have decreased and riverine nutrients have increased, whereas inputs from domestic and industrial effluents have a decreasing trend. However, nutrient over-enrichment impacts, i.e. eutrophication, harmful algal blooms and hypoxia still have to be addressed in order to identify whether the coastal system is recovering, or whether further actions should be undertaken to control nutrient inputs from the Axios River and/or other sources. Response actions, such as the improvement of Thessaloniki's wastewater treatment plant, have proved to play a positive role in the reduction of domestic wastewater input in the gulf, whereas similar facilities are completely lacking in FYROM. On the other hand, several parts of the Axios River delta are designated as protected areas, in an effort to protect environmentally rich habitats. These efforts are often disputed by local stakeholders, which have conflicting interests in the use of the hinterland and the coastal environment. The need of an integrated catchment-coastal zone management plan appears as a fundamental priority in order to protect, improve and maintain the environment, taking into account the need for economic development of the area. The DPSIR conceptual framework appears to be a valuable tool, as it enables parallel assessment of socioeconomic and environmental issues. In combination with the application of numerical models, the DPSIR analysis may provide suggestions for sustainable and environmentally-friendly measures to policy makers. ? Springer-Verlag 2004.",https://doi.org/10.1007/s10113-004-0078-7,2005,Regional Environmental Change,101,,algae; Thessaloniki,"Karageorgis, A.P.; Skourtos, M.S.; Kapsimalis, V.; Kontogianni, A.D.; Skoulikidis, N.Th.; Pagou, K.; Nikolaidis, N.P.; Drakopoulou, P.; Zanou, B.; Karamanos, H.; Levkov, Z.; Anagnostou, Ch.",,,,,,
143,Spatial and temporal variability of Total Suspended Solids in the Seine Basin,"We analyze the TSS distribution over the whole Seine basin (67 500 km2, stream order 8) from: 1. a set of 236 stations sampled quarterly to bimonthly from the french national water quality monitoring network over the 19711997 period, 2. four stations sampled daily over 3 and 4 years located on stream orders 1, 5, 6 and 8, 3. a weekly survey of the exceptional 1994/95 high water stage at 4 stations upstream and downstream of Greater Paris (10 M. people). Due to very low relief and even rainfall distribution over the year, the Seine and its river network from order 3 to 8, are characterized by very low TSS: 79% of medians (C50%) are between 8 and 32 mg l-1 and maximum TSS barely reach 300 mg l-1. Due to similar relief distributions, runoff patterns and geology in all sub-basins, major tributaries have near-identical long-term TSS regimes and seasonal variations during the 1994/95 flood stage. Second order TSS variations are linked to lithology: streams draining argillaceous and marl terrains are up to 3 and 4 times more turbid than those draining limestones and chalks. Basin size was also tested: the TSS range (quantiles C1% to C99%) decreases from order 1 to 8, and quantiles levels C10% to C75% double from order 3 to 8. Human impacts on TSS levels are quite limited: Greater Paris influence on longitudinal profiles is not observed; in periurban streams, where population density reach 1000 p km-2, TSS levels are twice those observed in rural conditions (40 p km-2): C75% are 32 Ò 12 and 17.5 Ò 9 mg l-1, respectively. In orders 6 to 8, the lower TSS quantiles (C10% and C25%) are higher than in orders 3 - 5, this can be attributed to eutrophication and/or to an important fluvial traffic. No significant trend was observed on the TSS distributions at the river mouth from 1971 to 1997. Comparison with a previous daily survey in 1863-1866 showed present marked decrease of average TSS and TSS yearly range attributed mostly to locks.",https://doi.org/10.1007/978-94-017-2163-9_31,1999,Hydrobiologia,24,Seine river; Space variability; Statistical distribution; Total Suspended Solids,spatiotemporal analysis; suspended particulate matter; water quality; France,"Meybeck, M.; Idlafkih, Z.; Fauchon, N.; AndrÇassian, V.",,,,,,
144,Seasonal and long-term nutrient trend decomposition along a spatial gradient in the neuse river watershed,"The Neuse River Estuary in North Carolina has recently received considerable public attention for severe algal blooms, large fish kills, and outbreaks of toxic microorganisms. To investigate the belief that nutrient enrichment has worsened in recent years, we analyzed long-term and seasonal trends in nutrient concentrations along the river and estuary employing seasonal trend decomposition using local regression analysis (STL). The nonparametric nature of the STL approach makes it possible to identify nonlinear trends and seasonal interactions that would be missed by traditional trend detection methods. The results indicate that while there may have been minor increases in nitrogen concentrations at upstream locations over the past twenty years, those changes are not reflected in the lower river and estuary. However, the pronounced decreases in phosphorus concentrations that occurred upstream, corresponding to a phosphorus detergent ban in 1988, do persist downstream. The net result is that the ratio of nitrogen to phosphorus concentrations in the estuary has increased considerably in the last 10 years. When Compared with the Redfield value, ambient nutrient ratios suggest that phytoplankton growth in the estuary may be experiencing a shift from nitrogen to phosphorus limitation during much of the year. This shift may be inducing a change in the biotic community that would help explain the perception of worsening eutrophication, despite an overall reduction in nutrient concentrations.; The Neuse River Estuary in North Carolina has recently received considerable public attention for severe algal blooms, large fish kills, and outbreaks of toxic microorganisms. To investigate the belief that nutrient enrichment has worsened in recent years, we analyzed long-term and seasonal trends in nutrient concentrations along the river and estuary employing seasonal trend decomposition using local regression analysis (STL). The nonparametric nature of the STL approach makes it possible to identify nonlinear trends and seasonal interactions that would be missed by traditional trend detection methods. The results indicate that while there may have been minor increases in nitrogen concentrations at upstream locations over the past twenty years, those changes are not reflected in the lower river and estuary. However, the pronounced decreases in phosphorus concentrations that occurred upstream, corresponding to a phosphorus detergent ban in 1988, do persist downstream. The net result is that the ratio of nitrogen to phosphorus concentrations in the estuary has increased considerably in the last 10 years. When compared with the Redfield value, ambient nutrient ratios suggest that phytoplankton growth in the estuary may be experiencing a shift from nitrogen to phosphorus limitation during much of the year. This shift may be inducing a change in the biotic community that would help explain the perception of worsening eutrophication, despite an overall reduction in nutrient concentrations.",https://doi.org/10.1021/es000989p,2000,Environmental Science and Technology,71,,Algae; Decomposition; Estuaries; Microorganisms; Nitrogen; Phosphorus; Regression analysis; Rivers; Toxic materials; Watersheds; Fish kills; Neuse river watershed; Phytoplankton growth; Toxic microorganisms; Trend detection method; Environmental protection; nitrogen; phosphorus; nutrient enrichment; seasonality; toxic material; trend analysis; water chemistry; watershed; article; decomposition; estuary; river; seasonal variation; water quality; United States; algae,"Qian, S.S.; Borsuk, M.E.; Stow, C.A.",,,,,,
145,"Long-term changes in consentrations and flux fo nitrogen in the Mississippi River Basin, USA","Current and historical data show that nitrogen concentrations and flux in the Mississippi River Basin have increased significantly during the past 100 years. Most of the increase observed in the lower Mississippi River has occurred since the early 1970s and is due almost entirely to an increase in nitrate. The current (1980-99) average annual nitrogen (N) flux from the Mississippi Basin to the Gulf of Mexico is about 1 555 500 t year-1, of which about 62% is nitrate-N. The remaining 38% is organic nitrogen and a small amount of ammonium. The current (1980-99) average nitrate flux to the Gulf is almost three times larger than it was during 1955-70. This increased supply of nitrogen to the Gulf is believed to be partly responsible for the increasing size of a large hypoxic zone that develops along the Louisiana-Texas shelf each summer. This zone of oxygen-depleted water has doubled in areal extent since it was first measured in 1985. The increase in annual nitrate flux to the Gulf can be largely explained by three factors: Increased fertilizer use, annual variability in precipitation and increased streamflow, and the year-to-year variability in the amount of nitrogen available in the soil-ground water system for leaching to streams. The predominant source areas for the nitrogen transported to the Gulf of Mexico are basins draining southern Minnesota, Iowa, Illinois, Indiana, and Ohio. Basins in this region yield 1801 to 3050 kg N km-2 year-1 to streams, several times the N yield of basins outside this region.",https://doi.org/10.1002/hyp.210,2001,Hydrological Processes,191,Eutrophication; Hypoxia; Nitrogen loads; Nonpoint source; Nutrients; Water quality,Ammonium compounds; Nitrogen; Rivers; Nitrate flux; Hydrology; flux measurement; long-term change; nitrogen; river water; water quality; United States,"Goolsby, D.A.; Battaglin, W.A.",,,,,,
147,"Watershed-scale response to agricultural diffuse pollution control programs in Vermont, USA","From 1979 to 1990, the LaPlatte River Watershed and the St. Albans Bay Watershed Rural Clean Water Program projects in Vermont (USA) sought to reduce sediment, nutrient, and bacteria loads to parts of Lake Champlain impaired by eutrophication. Best Management Practices (BMPs) to control diffuse sources of pollution from dairy agriculture were widely implemented through a voluntary program of technical assistance and cost-sharing by agencies of the U.S. Department of Agriculture. Intensive water quality monitoring was undertaken to document water quality changes resulting from the land treatment programs, including studies of BMP effectiveness and long-term watershed-scale trend monitoring Some BMPs significantly reduced edge-of-field pollutant delivery to surface waters. Phosphorus export from corn fields was up to 1500% higher where manure was winter spread and up to 15% of the phosphorus applied in winter-spread manure was lost in runoff. A vegetated filter strip retained more than 90% of sediment and nutrients in milking center waste and functioned effectively year-round. Watershed-level response, however, was not simply the sum of edge-of-field changes. Sediment concentration and export decreased in both project areas, but anticipated decreases in nutrient concentrations and loads did not occur. The most significant water quality trends observed were 50-75% reductions in indicator bacteria counts in all study watersheds. Factors contributing to the lack of general response in nutrient levels, recommendations for future agricultural pollution control projects, and implications for planning of diffuse source pollution control programs are discussed.",https://doi.org/10.1016/0273-1223(96)00231-4,1996,Water Science and Technology,46,Agriculture; Animal waste; Bacteria; Best management practices; Diffuse pollution; Diffuse pollution control; Land treatment; Nonpoint source pollution; Phosphorus; Vermont,"phosphorus; river water; agriculture; bacterial count; conference paper; cost effectiveness analysis; environmental management; environmental monitoring; environmental protection; eutrophication; lake; manure; nutrient; pollution control; sediment; technology; volunteer; water pollution; water quality; water supply; Agriculture; Bacteria; Environmental engineering; Impurities; Monitoring; Phosphorus; Runoff; Sediments; Surface waters; Water quality; Watersheds; Animal waste; Best management practices; Diffuse pollution; Diffusion pollution control; Land treatment; Nonpoint source pollution; Nutrients; Vermont; Water pollution control; best management practice; nonpoint source pollution; USA, Vermont; Bacteria (microorganisms); Zea mays","Meals, D.W.",,,,,,
148,Upward trend in soluble phosphorus loadings to Lough Neagh despite phosphorus reduction at sewage treatment works,"After allowing for changes in point source phosphorus (P) loadings from sewage treatment works (STWs) and creameries, an upward trend in the soluble reactive phosphorus (SRP) loadings in the six major rivers draining into Lough Neagh was established over the period 1974-1991. Urban SRP loadings were reduced by a P reduction programme at nine major STWs, which commenced in 1981, while the loading from other STWs was considered to have been stable as population growth was balanced by reduced P per capita loadings reflecting reductions in the P content of domestic detergents. Post 1987, creamery loadings were reduced following closures and a switch away from phosphoric acid as a cleaning agent. STWs were subjected to P reduction in four river catchments but reductions in SRP loads of these rivers were only comparable to the reduction in STWs loadings of SRP for a period of up to four years. Of the two remaining rivers, one experienced no major change in point source P loadings from 1974 to 1991, over which time a steady increase in SRP loadings occurred, while a similar SRP loading increase was also detected in the remaining river over a 12 year period when point sources were quite constant. In all river catchments, long-term changes in loadings or the short-term response to point source reductions could only be made after taking into account the variation in river SRP loads due to annual flow variations. The rates at which SRP loadings were increasing was in the range 1.30 to 1.45 kg P km-2 yr-1. ? 1995.",https://doi.org/10.1016/0043-1354(94)00259-A,1995,Water Research,90,agriculture; dairy industry; eutrophication; lakes; phosphorus; reduction; sewage works; tertiary treatment; waste waters,detergent; lake water; phosphoric acid; phosphorus; river water; article; circannual rhythm; dairy industry; effluent; eutrophication; pollution control; population growth; priority journal; sewage treatment; United Kingdom; waste water management; water flow; water pollution,"Foy, R.H.; Smith, R.V.; Jordan, C.; Lennox, S.D.",,,,,,
149,Time series analysis of nutrient inputs to the Baltic Sea and changing DSi:DIN ratios,"Increasing nutrient loads have characterized the Baltic Sea during the last century. However, the detection of long-term trends in the water column has been difficult due to both paucity of data and high variability. Analysis of water quality data with robust non-parametric methods has shown statistically significant increases in total nitrogen, total phosphorus, nitrate (NO3), and dissolved inorganic phosphate, although with considerable spatial and temporal differences. Significant decreases in dissolved silicate (DSi) and ammonium (NH4) concentration have also been reported. We report here significant decreases in the DSi:DIN ratio (where DIN, dissolved inorganic nitrogen, is the sum of NO3, NO2, and NH4 concentrations) in the Baltic Sea from 1970 to 1990. The molar ratios prior to the formation of the spring bloom are now approaching unity, with further decreases expected with continued eutrophication of the Baltic Sea. This can be explained by an increased net sedimentation of biogenic silica due to increased primary production attributable to increased nutrient loading. While the Baltic proper is generally assumed to be N limited, declining DSi:DIN ratios indicate that spring diatom growth may become DSi limited in the near future, as the optimal DSi:DIN ratio for diatom growth is approximately 1:1. This decrease in the DSi:DIN ratio cannot be statistically detected in the river input to the Baltic proper. Only a few significant tests were found in the sea, with both upward and downward trends detected. Ecological implications of this observed reduction in the DSi:DIN ratio may include DSi- limited diatom growth and changes in species composition and, subsequently, food web dynamics.",https://doi.org/10.3354/meps130221,1996,Marine Ecology Progress Series,80,Baltic Sea; Dissolved silicate; Eutrophication; Inorganic nitrogen; Nutrient ratio; River load; Trend test,DSi:DIN ratios; eutrophication; nutrients; time series analysis; Baltic Sea,"Rahm, L.; Conley, D.; SandÇn, P.; Wulff, F.; Staln?acke, P.",,,,,,
150,"Long?term trends in Pamlico River Estuary nutrients, chlorophyll, dissolved oxygen, and watershed nutrient production","Trends in Pamlico River estuary ammonia nitrogen (NH4), nitrate nitrogen (NO3), phosphate phosphorus (PO4), chlorophyll a (chl a) and dissolved oxygen (DO) during the past 20?24 years were analyzed, and estimates of annual N and P production in the watershed over the past century were computed. The goal of the study was to determine whether or not the estuary is becoming more eutrophic. NO3 has decreased in the upper and middle regions of the estuary by 3?6% yr?1 since 1970, and NH4 has decreased throughout the estuary at an annual rate of 5.5?7.7% yr?1. Since 1967 PO4 has increased by 2% yr?1 in the lower two thirds of the estuary due to discharges from a phosphate mining facility. Thus the inorganic N:P ratio has decreased, which suggests that N is now potentially more limiting than in the past. In the upper estuary, chl a increased at a rate of 6.6% yr?1 since 1970, and bottom water DO decreased very slightly; neither showed trends in the middle and lower estuary regions. The weight of the evidence is that the Pamlico has not become more eutrophic during the past two decades. This finding is corroborated by the lack of a trend since 1970 in calculated N and P production from point and nonpoint sources in the watershed. Watershed nutrient production is estimated to have increased severalfold between 1880 and 1970, but appears to have stabilized after 1970, due primarily to decreased application of fertilizer on croplands. Copyright 1993 by the American Geophysical Union.",https://doi.org/10.1029/93WR00750,1993,Water Resources Research,25,,"chlorophyll; dissolved oxygen; estuary water quality; eutrophication; nutrient; nutrients; river water quality; USA, North Carolina, Pamlico Estuary; USA, North Carolina, Pamlico River Estuary","Stanley, D.W.",,,,,,
151,"Long-term trends in estuarine nutrients and chlorophyll, and short- term effects of variation in watershed discharge","For up to 18 yr the authors monitored salinity and the concentrations of nutrients, organic matter, plant pigments, and suspended particles in the Rhode River (a subestuary of Chesapeake Bay). There was no clear evidence of increasing eutrophication. Chlorophyll concentration did not show a long-term trend. Total suspended particles and forms of P, N, and C showed either a decrease or no trend, except for dissolved ammonium which increased slightly in one segment of the estuary. The largest and most consistent trend was a decrease in dissolved organic N. In some cases, nitrate was positively correlated with either local or Susquehanna River flow depending on season, location in the estuary, and time scale. At both weekly and seasonal time scales, chlorophyll was positively correlated with Susquehanna flow in spring in one segment of the estuary. At the seasonal time scale, chlorophyll in summer was correlated with Susquehanna flow of the previous spring. Chlorophyll concentrations in spring thus appear to be controlled by nitrate inputs from the Susquehanna, while in summer they are controlled by the regeneration of inorganic N from organic matter produced in the spring. -from Authors",,1991,Marine Ecology Progress Series,89,,chlorophyll; nutrients; organic matter; (Northeast); Chesapeake Bay; Maryland; Rhode River; Susquehanna River; USA; Virginia,"Jordan, T.E.; Correll, D.L.; Miklas, J.; Weller, D.E.",,,,,,
153,The phosphorus content of rivers in England and Wales,"To determine the extent of phosphorus (P) enrichment of the major rivers in England and Wales, a proportion of the large archive of data held by the National Rivers Authority on river orthophosphate concentrations was collated and statistical summaries produced. Length of sampling record, sampling frequency and method of analysis was not consistant for all rivers, but median orthophosphate concentrations for 98 rivers ranged from < 0.01 to 7.85 mg/l. Median concentrations exceeded 0.1 mg/l in 78 of the rivers and 1.0 mg/l in 16 rivers. Orthophosphate concentrations were largest in highly urbanised catchments and in some rural catchments with low flow rates, and smallest in rural upland catchments and other high rainfall areas. Estimated loadings of orthophosphate were < 1 kg/ha in 50% of rivers. Where total P data were available, orthophosphate was the dominant form of P present. Mean monthly orthophosphate concentrations derived for 20 of the rivers increased slowly during summer to reach a maximum between July and November and decreased quickly over winter to reach a minimum between January and April. Similar temporal trends were observed in long-term time series for individual rivers. Limited linear regression analysis indicated that orthophosphate concentrations had significantly increased over the last 20 years in some rivers. Reductions in orthophoshate levels in other rivers could be related to recent attempts to control sources of P inputs. Comparison of two different rural catchments demonstrated that the distribution of sewage treatment works and river flow characteristics had a major influence on the spatial variation of river orthophosphate concentrations in catchments. Although the data were more representative of base flow conditions and therefore probably underestimate the contribution from agriculture, it can be concluded that the widespread P enrichment of rivers in England and Wales is largely due to point source P inputs.",https://doi.org/10.1016/0043-1354(95)00290-1,1996,Water Research,72,Agriculture; Catchments; Eutrophication; Flow rate; Load estimates; Orthophosphate; Phosphorus; Rivers; Sewage treatment works; Temporal and spatial variation,phosphate; phosphorus; rain; agriculture; article; concentration (parameters); priority journal; regression analysis; river; seasonal variation; sewage treatment; summer; United Kingdom; urban rural difference; waste water treatment plant; water pollution; water sampling; winter; orthophosphate; river water quality; UK; Agriculture; Flow of water; Phosphates; Regression analysis; Rivers; Sampling; Sewage treatment; Time series analysis; Catchments; England; Eutrophication; Flow rate; Method of analysis; Wales; Phosphorus,"Muscutt, A.D.; Withers, P.J.A.",,,,,,
154,"WATER QUALITY OF THE YADKIN-PEE DEE RIVER SYSTEM, NORTH CAROLINA - VARIABILITY, POLLUTION LOADS, AND LONG-TERM TRENDS.","Interpretation of water-quality data collected by the U. S. Geological Survey and the North Carolina Department of Natural Resources and Community Development, for the Yadkin-Pee Dee River system, has identified water-quality variations, characterized the current condition of the river in reference to water-quality standards, estimated the degree of pollution caused by man, and evaluated long-term trends in concentrations of major dissolved constituents. Overall, the ambient water quality of the Yadkin-Pee Dee River system is satisfactory for most water uses. Suspended sediment is the most significant water-quality problem. Nutrient concentrations are high enough to allow rich algal growth. Eutrophication is currently a problem in the Yadkin-Pee Dee, particularly in High Rock Lake. Statistically significant trends show a pattern of increasing concentration of most dissolved constituents over time, with a leveling off and decline in the middle to late 1970's. refs.",https://doi.org/10.3133/wsp2185E,1983,United States Geological Survey Water-Supply Paper,0,,Water analysis; WATER POLLUTION - Water Quality; Rivers,"Harned, Douglas; Meyer, Dann",,,,,,
157,Widespread increases in soluble phosphorus concentrations in streams across the transboundary Great Lakes Basin,"Excess phosphorus from agricultural intensification has contributed to the eutrophication of rivers and lakes worldwide, including the transboundary Laurentian Great Lakes Basin. Algal blooms have surged in the past decade, threatening ecosystems, drinking water supplies and lake-dependent tourism economies in both large lakes (for example, Lake Erie) and smaller water bodies. Whereas previous research has focused mainly on phosphorus loads to Lake Erie, a comprehensive analysis of phosphorus species across the basin is lacking. Here we analyse changes in soluble reactive phosphorus and total phosphorus concentrations in over 370 watersheds across the Great Lakes Basin from 2003 to 2019. We find widespread increases in soluble phosphorus concentrations (83% of watersheds, with 46% showing significant increase), while total phosphorus concentrations are decreasing or non-significant. Utilizing random forest models, we identify small, forested watersheds at higher latitudes as the areas experiencing the largest relative increases in soluble phosphorus concentrations. Furthermore, we find winter temperatures to be a key driver of winter concentration trends. We propose that the increasing soluble phosphorus concentrations across the basin, along with warming temperatures, might be contributing to the increasing frequency and intensity of algal blooms, emphasizing the need for management strategies to prevent further water-quality degradation. Analyses of phosphorus concentrations in more than 370 watersheds of the Great Lakes Basin from 2003 to 2019 suggest widespread increases in soluble reactive phosphorus concentrations, despite often decreasing or non-significant trends in total phosphorus.",https://doi.org/10.1038/s41561-023-01257-5,2023,Nature Geoscience,36,Long-Term; Re-eutrophication; Erie; Nitrogen; Declines; Patterns; Maumee; Rivers; Inputs; Export,,"Singh, N.K.; Van Meter, K.J.; Basu, N.B.",,,,,,
158,Numerical and Qualitative Contrasts of Two Statistical Models for Water Quality Change in Tidal Waters,"Two statistical approaches, weighted regression on time, discharge, and season and generalized additive models, have recently been used to evaluate water quality trends in estuaries. Both models have been used in similar contexts despite differences in statistical foundations and products. This study provided an empirical and qualitative comparison of both models using 29years of data for two discrete time series of chlorophyll-a (chl-a) in the Patuxent River estuary. Empirical descriptions of each model were based on predictive performance against the observed data, ability to reproduce flow-normalized trends with simulated data, and comparisons of performance with validation datasets. Between-model differences were apparent but minor and both models had comparable abilities to remove flow effects from simulated time series. Both models similarly predicted observations for missing data with different characteristics. Trends from each model revealed distinct mainstem influences of the Chesapeake Bay with both models predicting a roughly 65% increase in chl-a over time in the lower estuary, whereas flow-normalized predictions for the upper estuary showed a more dynamic pattern, with a nearly 100% increase in chl-a in the last 10years. Qualitative comparisons highlighted important differences in the statistical structure, available products, and characteristics of the data and desired analysis.",https://doi.org/10.1111/1752-1688.12489,2017,Journal Of The American Water Resources Association,20,Estuaries; additive models; nutrients; Patuxent River estuary; statistics; time-series analysis; weighted regression,Long-Term Trends; Chesapeake Bay; Quantile Regression; Phytoplankton; Eutrophication; Nutrients; Estuary; River; Tributaries; Dynamics,"Beck, M.W.; Murphy, R.R.",,,,,,
160,Changing Rainfall Patterns Over the Western Lake Erie Basin (1975-2017): Effects on Tributary Discharge and Phosphorus Load,"In agricultural watersheds, shifting climate and hydrologic patterns present an immediate and future risk to both farm productivity and downstream aquatic ecosystems. Here, our objective was to evaluate long-term spatiotemporal trends in rainfall amount and intensity within the Maumee River-Lake Erie system and quantify the effects of rainfall patterns on streamflow and phosphorus loading. Across the watershed, annual rainfall increased by 102 +/- 115 mm (11 +/- 13%) from 1975-2017. Heavy (25.4-76.2 mm) and very heavy (>76.2 mm) rainfall accounted for most of the increase in total rainfall, with observed increases of 45 +/- 32% that occurred primarily during spring and summer. Trends in streamflow for 12 monitored subwatersheds generally followed patterns in rainfall, as discharge increased by 19 +/- 32%. Discharge-to-rainfall ratio increased in 9 of 12 subwatersheds despite no change or increases in watershed storage capacity, suggesting that increasing rainfall intensity that exceeds short-term watershed storage capacity (i.e., during/immediately following the rainfall event) may control patterns of discharge more than long-term gains in watershed storage (i.e., changes in soil water holding capacity). Long-term trends in phosphorus (total phosphorus and soluble reactive phosphorus) load indicate that changes in rainfall amount and intensity have substantially contributed to increased loading through increased discharge volumes. Differences in total phosphorus and soluble reactive phosphorus concentration trends also highlight how concomitant changes in rainfall and land management practices have influenced loading. Findings therefore suggest that changing patterns in rainfall amount and intensity have and will likely continue to pose a significant challenge to conservation efforts in agricultural landscapes aiming to decrease phosphorus delivery to surface waters.",https://doi.org/10.1029/2019WR025985,2020,Water Resources Research,93,Climate-Change; Long-Term; Water Quality; Trend Decomposition; Drained Landscapes; Nutrient Loads; River; Agriculture; Eutrophication; Phytoplankton,,"Williams, M.R.; King, K.W. ",,,,,,
162,Increases in the seaward river flux of nutrients driven by human migration and land-use changes in the tide-influenced delta,"Most large megacities are located on areas adjacent to tide-influenced deltas. However, contribution of megacities to seaward nutrient fluxes in tide-influenced deltas are poorly quantified in regional and global levels. We analyzed nutrient concentrations and water current data for a large and tide-influenced delta, the Changjiang (Yangtze River) since 1980. Concentrations, species ratios and fluxes of nutrients in tide-influenced delta has been found to differ dramatically from those at upstream. Over the period 2004 to 2015, the seaward nutrient fluxes of dissolved inorganic nitrogen and dissolved silica increased by 5%-10%, but dissolved inorganic phosphorus increased by 15%-20%, in the tide-influenced delta of the Changjiang. Consequently, the DIP/DIN decreases by 11% and DIP/DSi increases by 14% at the river mouth relative to those farther upstream the tidal limit. The legacy and/or recycled contribution accounts for 10%-30% of this increased nutrient flux, hence additional sources are predominantly those involving anthropogenic land-use changes. These findings have implications not only for the Changjiang but also for other riverine systems with respect to management strategy. Nutrient dynamics in tide-influenced deltas near urban areas should receive increased research and policy attention. By not considering nutrient sources in tide-influenced deltas, knowledge of the seaward fluxes and species ratios of nutrients from land sources is incomplete and can be biased, to the point that assessments of their impacts on adjacent marine environments may be inaccurate and mitigation policies therefore ineffective. (C) 2020 Elsevier B.V. All rights reserved.",https://doi.org/10.1016/j.scitotenv.2020.144501,2021,Science of the Total Environment,31,Megacities in the tide-influenced delta; Nutrients; Changjiang; Human dimensions; Seaward nutrient fluxes; Nutrient species ratio; Land-use changes,Changjiang Yangtze-River; Dominated Ocean Margins; Long-Term Changes; Nitrogen Inputsglobal Nitrogen; Eutrophication; Marine; Precipitation; Mississippi; Phosphorus,"Zhang, J.; Du, Y.N.; Zhang, G.S.; Chang, Y.; Zhou, Y.C.; Zhang, Z.F.; Wu, Y.; Chen, J.W.; Zhang, A.Y.; Zhu, Z.Y.; Liu, S.M.",,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
